,,,,,,,,,,,,,,Rabbi,Cardozo,in,his,reply,thanked,the,speakers,for,their,congratulations,and,all,those,present,for,the,honor,they,had,done,him
,,,,,,,,,,,,,,,,,,,,,,,He,was,fully,aware,of,the,great,task,which,was,ahead,of,him
,,,,,,,,,,,,,,,,,,,,,,,,,,,,His,example,would,be,an,inspiration,to,him
,,,,,,,,,,,,,,,,,,,,,,,,,,He,also,appealed,to,all,those,present,to,assist,him
,,,,,,,,,,,,,,,,,,,,,,,,,,,Mazal,Nissim,Ovadia,congratulating,Rabbi,Cardozo,and,wishing,him
,,,,,,,,,,,,,,,,,,,,At,the,Congregation,Magen,David,Rabbi,Cardozo,was,received,by,Rabbi,Jacob,Kassin,who,took,him
,,,,,,,,,,,,,,,,,,,,,Before,leaving,Rabbi,Cardozo,thanked,Rabbi,Kassin,for,his,very,friendly,reception,and,complimented,him
,,,,,,,,Pool,was,the,outstanding,Sephardi,Rabbi,of,America,whose,constant,endeavor,and,untiring,efforts,on,behalf,of,Jewry,in,general,and,the,Sephardim,in,particular,had,endeared,him
For,thou,has,fought,with,God,and,with,man,and,thou,hast,prevailed,Jacob,‘,s,strength,was,his,faith,in,God,and,his,belief,that,his,cause,was,right,and,that,God,would,support,him
,,,,The,Sephardic,Congregation,of,the,Bronx,informs,us,that,a,reception,in,honor,of,Rabbi,Cardozo,will,be,held,on,Sunday,afternoon,January,10th,at,Eisemere,Hall,in,order,to,introduce,him
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,It,was,gratifying,to,him
,,,,,,,,,,,He,was,grateful,for,the,very,kind,manner,in,which,he,was,received,and,for,the,many,offers,of,support,that,had,been,given,him
,,,,,,,,,,,,,,,,,,,,,,,Ovadia,was,to,be,continued,and,he,appealed,to,all,to,help,him
